datasaet: amazon_computer,  model: sage.
epoch: 29, val_loss: 0.8299292922019958
epoch: 30, val_loss: 0.8219886422157288
epoch: 31, val_loss: 0.8293114900588989
epoch: 32, val_loss: 0.813437819480896
Final epoch: 32
beta:0.0,accuracy:0.76025390625

time of one repeat:216.1157603263855
time of construct data:55.65117526054382
epoch: 0, val_loss: 1.997408390045166
epoch: 1, val_loss: 1.6350075006484985
epoch: 2, val_loss: 1.4506278038024902
epoch: 3, val_loss: 1.262437105178833
epoch: 4, val_loss: 1.1750006675720215
epoch: 5, val_loss: 1.0680744647979736
epoch: 6, val_loss: 1.0467019081115723
epoch: 7, val_loss: 0.9926062822341919
epoch: 8, val_loss: 0.9739388823509216
epoch: 9, val_loss: 0.9463089108467102
epoch: 10, val_loss: 0.9453396201133728
epoch: 11, val_loss: 0.9476583003997803
epoch: 12, val_loss: 0.9290762543678284
epoch: 13, val_loss: 0.8952232599258423
epoch: 14, val_loss: 0.9574525356292725
epoch: 15, val_loss: 0.9246304631233215
epoch: 16, val_loss: 0.8510723114013672
epoch: 17, val_loss: 0.9199773669242859
epoch: 18, val_loss: 0.8759716153144836
epoch: 19, val_loss: 0.9262521266937256
epoch: 20, val_loss: 0.9079855680465698
epoch: 21, val_loss: 0.9126675724983215
Final epoch: 21
beta:0.0,accuracy:0.74951171875

time of one repeat:158.4286150932312
time of construct data:56.033289670944214
epoch: 0, val_loss: 2.294238805770874
epoch: 1, val_loss: 1.6668280363082886
epoch: 2, val_loss: 1.4200464487075806
epoch: 3, val_loss: 1.3542940616607666
epoch: 4, val_loss: 1.186814308166504
epoch: 5, val_loss: 1.0958462953567505
epoch: 6, val_loss: 1.060613989830017
epoch: 7, val_loss: 1.0095529556274414
epoch: 8, val_loss: 0.9546721577644348
epoch: 9, val_loss: 0.94551682472229
epoch: 10, val_loss: 0.9236103892326355
epoch: 11, val_loss: 0.8956222534179688
epoch: 12, val_loss: 0.8399115800857544
epoch: 13, val_loss: 0.8360581398010254
epoch: 14, val_loss: 0.8660387992858887
epoch: 15, val_loss: 0.8707996010780334
epoch: 16, val_loss: 0.8726194500923157
epoch: 17, val_loss: 0.8336033225059509
epoch: 18, val_loss: 0.7938812375068665
epoch: 19, val_loss: 0.7942442297935486
epoch: 20, val_loss: 0.7958889007568359
epoch: 21, val_loss: 0.804893970489502
epoch: 22, val_loss: 0.785361111164093
epoch: 23, val_loss: 0.7734804749488831
epoch: 24, val_loss: 0.7679787874221802
epoch: 25, val_loss: 0.792493999004364
epoch: 26, val_loss: 0.748300313949585
epoch: 27, val_loss: 0.7521332502365112
epoch: 28, val_loss: 0.7829688787460327
epoch: 29, val_loss: 0.750750720500946
epoch: 30, val_loss: 0.7717722058296204
epoch: 31, val_loss: 0.7724887728691101
Final epoch: 31
beta:0.0,accuracy:0.7666015625

time of one repeat:217.23421454429626
time of construct data:56.178109884262085
epoch: 0, val_loss: 2.2618296146392822
epoch: 1, val_loss: 1.6282254457473755
epoch: 2, val_loss: 1.5530779361724854
epoch: 3, val_loss: 1.2428562641143799
epoch: 4, val_loss: 1.1209537982940674
epoch: 5, val_loss: 1.0881377458572388
epoch: 6, val_loss: 1.0484189987182617
epoch: 7, val_loss: 1.0265545845031738
epoch: 8, val_loss: 0.9482818245887756
epoch: 9, val_loss: 0.893750011920929
epoch: 10, val_loss: 0.9391865730285645
epoch: 11, val_loss: 0.9053367376327515
epoch: 12, val_loss: 0.8436920642852783
epoch: 13, val_loss: 0.8723273873329163
epoch: 14, val_loss: 0.8173222541809082
epoch: 15, val_loss: 0.7845778465270996
epoch: 16, val_loss: 0.8169082403182983
epoch: 17, val_loss: 0.8368614315986633
epoch: 18, val_loss: 0.8710001111030579
epoch: 19, val_loss: 0.7844866514205933
epoch: 20, val_loss: 0.7622610330581665
epoch: 21, val_loss: 0.7932954430580139
epoch: 22, val_loss: 0.7859700322151184
epoch: 23, val_loss: 0.8234313726425171
epoch: 24, val_loss: 0.8304461240768433
epoch: 25, val_loss: 0.759604811668396
epoch: 26, val_loss: 0.7383018732070923
epoch: 27, val_loss: 0.7470448017120361
epoch: 28, val_loss: 0.8308332562446594
epoch: 29, val_loss: 0.7570036053657532
epoch: 30, val_loss: 0.808426022529602
epoch: 31, val_loss: 0.777441143989563
Final epoch: 31
beta:0.0,accuracy:0.76220703125

time of one repeat:211.2799530029297
time of construct data:56.98916935920715
epoch: 0, val_loss: 2.0302679538726807
epoch: 1, val_loss: 1.4885300397872925
epoch: 2, val_loss: 1.2474431991577148
epoch: 3, val_loss: 1.1754814386367798
epoch: 4, val_loss: 1.0299482345581055
epoch: 5, val_loss: 0.9412577152252197
epoch: 6, val_loss: 0.9224443435668945
epoch: 7, val_loss: 0.89963698387146
epoch: 8, val_loss: 0.885397732257843
epoch: 9, val_loss: 0.9238291382789612
epoch: 10, val_loss: 0.8940543532371521
epoch: 11, val_loss: 0.8763554692268372
epoch: 12, val_loss: 0.8310592174530029
epoch: 13, val_loss: 0.7949730753898621
epoch: 14, val_loss: 0.7850613594055176
epoch: 15, val_loss: 0.7995526194572449
epoch: 16, val_loss: 0.7511272430419922
epoch: 17, val_loss: 0.7894115447998047
epoch: 18, val_loss: 0.7582172751426697
epoch: 19, val_loss: 0.7713528871536255
epoch: 20, val_loss: 0.7486400008201599
epoch: 21, val_loss: 0.7358839511871338
epoch: 22, val_loss: 0.7991870045661926
epoch: 23, val_loss: 0.8010337948799133
epoch: 24, val_loss: 0.8005902767181396
epoch: 25, val_loss: 0.7813088893890381
epoch: 26, val_loss: 0.7728976607322693
Final epoch: 26
beta:0.0,accuracy:0.76513671875

time of one repeat:186.3937668800354
time of construct data:56.95833683013916
epoch: 0, val_loss: 2.2670013904571533
epoch: 1, val_loss: 1.6099332571029663
epoch: 2, val_loss: 1.3938660621643066
epoch: 3, val_loss: 1.2509002685546875
epoch: 4, val_loss: 1.1141753196716309
epoch: 5, val_loss: 1.0287877321243286
epoch: 6, val_loss: 1.0177510976791382
epoch: 7, val_loss: 0.9300187826156616
epoch: 8, val_loss: 0.9034795165061951
epoch: 9, val_loss: 0.8649463653564453
epoch: 10, val_loss: 0.8405197858810425
epoch: 11, val_loss: 0.8372077345848083
epoch: 12, val_loss: 0.7941139340400696
epoch: 13, val_loss: 0.8104314208030701
epoch: 14, val_loss: 0.8152243494987488
epoch: 15, val_loss: 0.781200647354126
epoch: 16, val_loss: 0.7539242506027222
epoch: 17, val_loss: 0.7537496089935303
epoch: 18, val_loss: 0.7473406791687012
epoch: 19, val_loss: 0.7883506417274475
epoch: 20, val_loss: 0.7667762041091919
epoch: 21, val_loss: 0.7572219371795654
epoch: 22, val_loss: 0.8416227102279663
epoch: 23, val_loss: 0.8278237581253052
Final epoch: 23
beta:0.0,accuracy:0.75927734375

time of one repeat:172.05255603790283
time of construct data:56.78932857513428
epoch: 0, val_loss: 1.9003589153289795
epoch: 1, val_loss: 1.6358648538589478
epoch: 2, val_loss: 1.3686130046844482
epoch: 3, val_loss: 1.2459603548049927
epoch: 4, val_loss: 1.1453917026519775
epoch: 5, val_loss: 1.0685124397277832
epoch: 6, val_loss: 1.064037561416626
epoch: 7, val_loss: 0.9821927547454834
epoch: 8, val_loss: 1.027961015701294
epoch: 9, val_loss: 0.967838704586029
epoch: 10, val_loss: 0.9114316701889038
epoch: 11, val_loss: 0.9657917022705078
epoch: 12, val_loss: 0.957958996295929
epoch: 13, val_loss: 0.9872490763664246
epoch: 14, val_loss: 0.8897193670272827
epoch: 15, val_loss: 0.9091447591781616
epoch: 16, val_loss: 0.8132594227790833
epoch: 17, val_loss: 0.8923746347427368
epoch: 18, val_loss: 0.8159565925598145
epoch: 19, val_loss: 0.8292607069015503
epoch: 20, val_loss: 0.8044678568840027
epoch: 21, val_loss: 0.8134158849716187
epoch: 22, val_loss: 0.8133648633956909
epoch: 23, val_loss: 0.8272296786308289
epoch: 24, val_loss: 0.8209089636802673
epoch: 25, val_loss: 0.807496964931488
Final epoch: 25
beta:0.0,accuracy:0.7705078125

time of one repeat:184.06110048294067
time of construct data:56.670297145843506
epoch: 0, val_loss: 1.852326512336731
epoch: 1, val_loss: 1.4429302215576172
epoch: 2, val_loss: 1.2066696882247925
epoch: 3, val_loss: 1.12099289894104
epoch: 4, val_loss: 1.016115665435791
epoch: 5, val_loss: 0.9545915722846985
epoch: 6, val_loss: 0.8820279240608215
epoch: 7, val_loss: 0.85716712474823
epoch: 8, val_loss: 0.8756104111671448
epoch: 9, val_loss: 0.8346978425979614
epoch: 10, val_loss: 0.7637753486633301
epoch: 11, val_loss: 0.7840301394462585
epoch: 12, val_loss: 0.7838870882987976
epoch: 13, val_loss: 0.8362908363342285
epoch: 14, val_loss: 0.7392755150794983
epoch: 15, val_loss: 0.7112023234367371
epoch: 16, val_loss: 0.7083262205123901
epoch: 17, val_loss: 0.7066413760185242
epoch: 18, val_loss: 0.7210010886192322
epoch: 19, val_loss: 0.7060800790786743
epoch: 20, val_loss: 0.716600239276886
epoch: 21, val_loss: 0.6944136619567871
epoch: 22, val_loss: 0.7871840000152588
epoch: 23, val_loss: 0.8278120756149292
epoch: 24, val_loss: 0.7395114898681641
epoch: 25, val_loss: 0.7006959319114685
epoch: 26, val_loss: 0.7485101222991943
Final epoch: 26
beta:0.0,accuracy:0.78271484375

time of one repeat:191.46753764152527
time of construct data:56.81743907928467
epoch: 0, val_loss: 1.7553834915161133
epoch: 1, val_loss: 1.3791059255599976
epoch: 2, val_loss: 1.1984384059906006
epoch: 3, val_loss: 1.0683143138885498
epoch: 4, val_loss: 0.9452676773071289
epoch: 5, val_loss: 0.8728798031806946
epoch: 6, val_loss: 0.8770837783813477
epoch: 7, val_loss: 0.8350024223327637
epoch: 8, val_loss: 0.8004016876220703
epoch: 9, val_loss: 0.7642900347709656
epoch: 10, val_loss: 0.801555335521698
epoch: 11, val_loss: 0.8575658798217773
epoch: 12, val_loss: 0.7978364825248718
epoch: 13, val_loss: 0.7396032214164734
epoch: 14, val_loss: 0.7286510467529297
epoch: 15, val_loss: 0.7290953397750854
epoch: 16, val_loss: 0.7877024412155151
epoch: 17, val_loss: 0.766249418258667
epoch: 18, val_loss: 0.7843603491783142
epoch: 19, val_loss: 0.753246009349823
Final epoch: 19
beta:0.0,accuracy:0.78271484375

time of one repeat:152.32400631904602
time of construct data:58.51675248146057
epoch: 0, val_loss: 2.034623622894287
epoch: 1, val_loss: 1.615329623222351
epoch: 2, val_loss: 1.3251972198486328
epoch: 3, val_loss: 1.1043466329574585
epoch: 4, val_loss: 1.0006155967712402
epoch: 5, val_loss: 1.0141303539276123
epoch: 6, val_loss: 0.9557340145111084
epoch: 7, val_loss: 0.8881579041481018
epoch: 8, val_loss: 0.8150230050086975
epoch: 9, val_loss: 0.8043299317359924
epoch: 10, val_loss: 0.7970244884490967
epoch: 11, val_loss: 0.8015763163566589
epoch: 12, val_loss: 0.773158848285675
epoch: 13, val_loss: 0.730588972568512
epoch: 14, val_loss: 0.6866200566291809
epoch: 15, val_loss: 0.6989862322807312
epoch: 16, val_loss: 0.7181928157806396
epoch: 17, val_loss: 0.7437149882316589
epoch: 18, val_loss: 0.8050974011421204
epoch: 19, val_loss: 0.7312209010124207
Final epoch: 19
beta:0.0,accuracy:0.7734375

time of one repeat:158.34437036514282
time of construct data:56.95571446418762
epoch: 0, val_loss: 1.8302345275878906
epoch: 1, val_loss: 1.5337562561035156
epoch: 2, val_loss: 1.239162802696228
epoch: 3, val_loss: 1.1585960388183594
epoch: 4, val_loss: 1.014456868171692
epoch: 5, val_loss: 0.9530248641967773
epoch: 6, val_loss: 0.8599863052368164
epoch: 7, val_loss: 0.8217613101005554
epoch: 8, val_loss: 0.7998723983764648
epoch: 9, val_loss: 0.7775565981864929
epoch: 10, val_loss: 0.771796464920044
epoch: 11, val_loss: 0.7333677411079407
epoch: 12, val_loss: 0.7533776164054871
epoch: 13, val_loss: 0.7499361038208008
epoch: 14, val_loss: 0.7038716077804565
epoch: 15, val_loss: 0.7652307748794556
epoch: 16, val_loss: 0.6867321729660034
epoch: 17, val_loss: 0.7026875019073486
epoch: 18, val_loss: 0.6777886748313904
epoch: 19, val_loss: 0.6948034763336182
epoch: 20, val_loss: 0.6714441776275635
epoch: 21, val_loss: 0.6858606934547424
epoch: 22, val_loss: 0.6745118498802185
epoch: 23, val_loss: 0.6684183478355408
epoch: 24, val_loss: 0.666267991065979
epoch: 25, val_loss: 0.6634906530380249
epoch: 26, val_loss: 0.686821699142456
epoch: 27, val_loss: 0.6851908564567566
epoch: 28, val_loss: 0.7192750573158264
epoch: 29, val_loss: 0.6672763824462891
epoch: 30, val_loss: 0.687972903251648
Final epoch: 30
beta:0.0,accuracy:0.802734375

time of one repeat:203.22316431999207
time of construct data:57.096657037734985
epoch: 0, val_loss: 1.810813069343567
epoch: 1, val_loss: 1.5557388067245483
epoch: 2, val_loss: 1.3588292598724365
epoch: 3, val_loss: 1.214578628540039
epoch: 4, val_loss: 1.0804921388626099
epoch: 5, val_loss: 1.041117548942566
epoch: 6, val_loss: 0.9512146711349487
epoch: 7, val_loss: 0.9212433695793152
epoch: 8, val_loss: 0.8541183471679688
epoch: 9, val_loss: 0.8288698792457581
epoch: 10, val_loss: 0.7785347700119019
epoch: 11, val_loss: 0.7745546102523804
epoch: 12, val_loss: 0.7726901173591614
epoch: 13, val_loss: 0.7652384042739868
epoch: 14, val_loss: 0.7579461336135864
epoch: 15, val_loss: 0.740472137928009
epoch: 16, val_loss: 0.7119555473327637
epoch: 17, val_loss: 0.7355583906173706
epoch: 18, val_loss: 0.7200498580932617
epoch: 19, val_loss: 0.7082246541976929
epoch: 20, val_loss: 0.7415208220481873
epoch: 21, val_loss: 0.6955685615539551
epoch: 22, val_loss: 0.6993416547775269
epoch: 23, val_loss: 0.7134159207344055
epoch: 24, val_loss: 0.702983558177948
epoch: 25, val_loss: 0.6914747357368469
epoch: 26, val_loss: 0.6717166900634766
epoch: 27, val_loss: 0.7305811643600464
epoch: 28, val_loss: 0.823702871799469
epoch: 29, val_loss: 0.7621417045593262
epoch: 30, val_loss: 0.6785387396812439
epoch: 31, val_loss: 0.7211177349090576
Final epoch: 31
beta:0.0,accuracy:0.7763671875

time of one repeat:204.24240899085999
time of construct data:58.15747904777527
epoch: 0, val_loss: 2.1537973880767822
epoch: 1, val_loss: 1.5066977739334106
epoch: 2, val_loss: 1.2364414930343628
epoch: 3, val_loss: 1.0639787912368774
epoch: 4, val_loss: 0.9450694918632507
epoch: 5, val_loss: 0.8629931807518005
epoch: 6, val_loss: 0.7862624526023865
epoch: 7, val_loss: 0.7415432333946228
epoch: 8, val_loss: 0.7405589818954468
epoch: 9, val_loss: 0.7364209890365601
epoch: 10, val_loss: 0.6824500560760498
epoch: 11, val_loss: 0.6550906896591187
epoch: 12, val_loss: 0.6722715497016907
epoch: 13, val_loss: 0.6731842756271362
epoch: 14, val_loss: 0.6386995315551758
epoch: 15, val_loss: 0.6126130223274231
epoch: 16, val_loss: 0.6153906583786011
epoch: 17, val_loss: 0.6245471835136414
epoch: 18, val_loss: 0.6131995916366577
epoch: 19, val_loss: 0.6243877410888672
epoch: 20, val_loss: 0.6533109545707703
Final epoch: 20
beta:0.0,accuracy:0.80078125

time of one repeat:165.2897973060608
time of construct data:59.09401535987854
epoch: 0, val_loss: 1.8661516904830933
epoch: 1, val_loss: 1.3480967283248901
epoch: 2, val_loss: 1.242358684539795
epoch: 3, val_loss: 1.0378297567367554
epoch: 4, val_loss: 0.943252444267273
epoch: 5, val_loss: 0.8711360692977905
epoch: 6, val_loss: 0.850040078163147
epoch: 7, val_loss: 0.8040156364440918
epoch: 8, val_loss: 0.7425768971443176
epoch: 9, val_loss: 0.7754261493682861
epoch: 10, val_loss: 0.7152886986732483
epoch: 11, val_loss: 0.7110483050346375
epoch: 12, val_loss: 0.6901426315307617
epoch: 13, val_loss: 0.6889921426773071
epoch: 14, val_loss: 0.6788640022277832
epoch: 15, val_loss: 0.6790755391120911
epoch: 16, val_loss: 0.6581400632858276
epoch: 17, val_loss: 0.6883829832077026
epoch: 18, val_loss: 0.6553663611412048
epoch: 19, val_loss: 0.6718950271606445
epoch: 20, val_loss: 0.6618843674659729
epoch: 21, val_loss: 0.6433455348014832
epoch: 22, val_loss: 0.7349410653114319
epoch: 23, val_loss: 0.7073623538017273
epoch: 24, val_loss: 0.7009389996528625
epoch: 25, val_loss: 0.6506989002227783
epoch: 26, val_loss: 0.6236210465431213
epoch: 27, val_loss: 0.6598892211914062
epoch: 28, val_loss: 0.6209471225738525
epoch: 29, val_loss: 0.6404341459274292
